NroLicitacion;NombreLicitacion;TipoLicitacion;Descripcion;MonedaLicitacion;MontoEstimadoLicitacion;MontoEstimadoVisible;BaseEstimacionMontoLicitacion;FuenteFinanciamiento;JustificacionMontoEstimado;FechaPublicacion;FechaInicioPreguntas;FechaFinalPreguntas;FechaPublicacionRespuestas;FechaActoAperturaTecnica;FechaActoAperturaEconomica;FechaCierre;FechaAdjudicacion;FechaEntregaEnSoporteFisico;FechaEstimadaEvaluacionOfertas;UnidadTiempoEvaluacion;EstadoLicitacion;ContemplaObrasPublicas;LicitacionInformada;LicitacionBaseTipo;TipoAdjudicacion;TipoAprobacionAdjudicacion;NumeroActaAprobacion;FechaActaAprobacion;TipoConvocatoria;NroEtapasLicitacion;SubContratacion;ProhibicionSubContratacion;TomaRazonContraloria;PublicidadOfertasTecnicas;RazonPublicidadOfertasTecnicas;Contrato;TiempoDuracionContrato;UnidadTiempoDuracionContrato;ContratoRenovable;ValorTiempoRenovacion;UnidadTiempoRenovacion;FechaEstimadaFirmaContrato;TipoEjecucion;PlazoPagoContrato;TipoPago;ObservacionContrato;ExtensionPlazo;UnidadCompra;UnidadCompraRUT;entCode;Institucion;Sector;RubroN1;RubroN2;RubroN3;CodigoProductoONU;ONUProducto;NombreItem;DescripcionItem;UnidadMedida;CantidadItem;Proveedor;ProveedorRUT;ActividadProveedor;TamanoProveedor;NombreOferta;EspecificacionesProveedor;EstadoOferta;CantidadOferta;MonedaOferta;MontoNetoOferta;MontoTotalOferta;ResultadoOferta
2735-33-LR21;Señales Verticales de Tránsito;Licitación Pública Mayor a 5000 (LR);Contratación del servicio de mantención y provisión e instalación de señalización vertical y de elementos de seguridad vial para la comuna de Lo Barnechea, con la finalidad de que el sistema de señalización vertical de tránsito y de elementos de seguridad vial, se encuentre en óptimas condiciones de operatividad.;CLP;12716361;NO;Presupuesto disponible;;;22-06-2021 13:10:04;22-06-2021 20:01:00;06-07-2021 10:00:00;14-07-2021 20:00:00;23-07-2021 15:31:00;30-07-2021 15:00:00;23-07-2021 15:30:00;27-08-2021 15:00:33;;;Horas;Adjudicada;NO;NO;;Multiple con Orden de Compra;Decreto;984;27-08-2021 0:00:00;Abierta;Dos etapas;No;;No;Si;;No;36;Meses;;0;;;Contrato de Ejecucion en el Tiempo;A 30 dias;Cheque;;NO;Municipalidad de lo Barnechea - Adquisiciones - Consistorial;69.255.200-8;100155;I MUNICIPALIDAD LO BARNECHEA;MUNICIPALIDADES;Equipos y suministros de defensa, orden público, protección y seguridad;Seguridad y control público;Control de tráfico;46161504;Señales de tránsito;Señales de tránsito;Servicio de mantención, provisión e instalación de señales verticales de tránsito;Unidad;1;Comercializadora y distribuidora Grafic spa;76.367.981-0;empresa de publicidad;Micro;	 Señales Verticales de Tránsito;Señales Verticales, confeccionadas en aluminio compuesto 4 mm, vinilo reflectantes grado ingenieria;Rechazada;1;CLP;27000;27000;Perdedora
2735-33-LR21;Señales Verticales de Tránsito;Licitación Pública Mayor a 5000 (LR);Contratación del servicio de mantención y provisión e instalación de señalización vertical y de elementos de seguridad vial para la comuna de Lo Barnechea, con la finalidad de que el sistema de señalización vertical de tránsito y de elementos de seguridad vial, se encuentre en óptimas condiciones de operatividad.;CLP;12716361;NO;Presupuesto disponible;;;22-06-2021 13:10:04;22-06-2021 20:01:00;06-07-2021 10:00:00;14-07-2021 20:00:00;23-07-2021 15:31:00;30-07-2021 15:00:00;23-07-2021 15:30:00;27-08-2021 15:00:33;;;Horas;Adjudicada;NO;NO;;Multiple con Orden de Compra;Decreto;984;27-08-2021 0:00:00;Abierta;Dos etapas;No;;No;Si;;No;36;Meses;;0;;;Contrato de Ejecucion en el Tiempo;A 30 dias;Cheque;;NO;Municipalidad de lo Barnechea - Adquisiciones - Consistorial;69.255.200-8;100155;I MUNICIPALIDAD LO BARNECHEA;MUNICIPALIDADES;Equipos y suministros de defensa, orden público, protección y seguridad;Seguridad y control público;Control de tráfico;46161504;Señales de tránsito;Señales de tránsito;Servicio de mantención, provisión e instalación de señales verticales de tránsito;Unidad;1;BOLIKLOR SPA;77.014.493-0;Construcción, Estructuras Metálicas, Mantención y Reparación Vehículos;Pequeña;Señales Verticales de Tránsito;Precio unitario presentado es la sumatoria entre el servicio de mantención y el servicio de suministros, sin impuestos incluidos;Aceptada;1;CLP;10168748;10168748;Perdedora
2735-33-LR21;Señales Verticales de Tránsito;Licitación Pública Mayor a 5000 (LR);Contratación del servicio de mantención y provisión e instalación de señalización vertical y de elementos de seguridad vial para la comuna de Lo Barnechea, con la finalidad de que el sistema de señalización vertical de tránsito y de elementos de seguridad vial, se encuentre en óptimas condiciones de operatividad.;CLP;12716361;NO;Presupuesto disponible;;;22-06-2021 13:10:04;22-06-2021 20:01:00;06-07-2021 10:00:00;14-07-2021 20:00:00;23-07-2021 15:31:00;30-07-2021 15:00:00;23-07-2021 15:30:00;27-08-2021 15:00:33;;;Horas;Adjudicada;NO;NO;;Multiple con Orden de Compra;Decreto;984;27-08-2021 0:00:00;Abierta;Dos etapas;No;;No;Si;;No;36;Meses;;0;;;Contrato de Ejecucion en el Tiempo;A 30 dias;Cheque;;NO;Municipalidad de lo Barnechea - Adquisiciones - Consistorial;69.255.200-8;100155;I MUNICIPALIDAD LO BARNECHEA;MUNICIPALIDADES;Equipos y suministros de defensa, orden público, protección y seguridad;Seguridad y control público;Control de tráfico;46161504;Señales de tránsito;Señales de tránsito;Servicio de mantención, provisión e instalación de señales verticales de tránsito;Unidad;1;SERVIPLOTT SERVICIOS GRAFICOS Y SENALIZACION VIAL LIMITADA;76.291.740-8;ACTIVIDADES DE SERVICIO RELACIONADA CON LA IMPRESION| FABRICACION DE OTROS PRODUCTOS ELABORADOS DE METAL N.C.P.| OBRAS DE INGENIERIA| EMPRESAS DE PUBLICIDAD;Mediana;SERVICIO DE MANTENCION PROVISION E INSTALACION DE SEALES VERTICALES DE TRANSITO;Servicio de mantención, provisión e instalación de señales verticales de tránsito;Aceptada;1;CLP;1;1;Perdedora
2735-33-LR21;Señales Verticales de Tránsito;Licitación Pública Mayor a 5000 (LR);Contratación del servicio de mantención y provisión e instalación de señalización vertical y de elementos de seguridad vial para la comuna de Lo Barnechea, con la finalidad de que el sistema de señalización vertical de tránsito y de elementos de seguridad vial, se encuentre en óptimas condiciones de operatividad.;CLP;12716361;NO;Presupuesto disponible;;;22-06-2021 13:10:04;22-06-2021 20:01:00;06-07-2021 10:00:00;14-07-2021 20:00:00;23-07-2021 15:31:00;30-07-2021 15:00:00;23-07-2021 15:30:00;27-08-2021 15:00:33;;;Horas;Adjudicada;NO;NO;;Multiple con Orden de Compra;Decreto;984;27-08-2021 0:00:00;Abierta;Dos etapas;No;;No;Si;;No;36;Meses;;0;;;Contrato de Ejecucion en el Tiempo;A 30 dias;Cheque;;NO;Municipalidad de lo Barnechea - Adquisiciones - Consistorial;69.255.200-8;100155;I MUNICIPALIDAD LO BARNECHEA;MUNICIPALIDADES;Equipos y suministros de defensa, orden público, protección y seguridad;Seguridad y control público;Control de tráfico;46161504;Señales de tránsito;Señales de tránsito;Servicio de mantención, provisión e instalación de señales verticales de tránsito;Unidad;1;HOMETEC SOCIEDAD ANONIMA;76.055.088-4;VENTA AL POR MAYOR, SEGURIDAD ELECTRONICA Y ALARMA;Pequeña;Señales Verticales de Tránsito ;Contratación del servicio de mantención y provisión e instalación de señalización vertical y de elementos de seguridad vial para la comuna de Lo Barnechea, con la finalidad de que el sistema de señalización vertical de tránsito y de elementos de seguridad vial, se encuentre en óptimas condiciones de operatividad.;Aceptada;1;CLP;19850627;19850627;Perdedora
2735-33-LR21;Señales Verticales de Tránsito;Licitación Pública Mayor a 5000 (LR);Contratación del servicio de mantención y provisión e instalación de señalización vertical y de elementos de seguridad vial para la comuna de Lo Barnechea, con la finalidad de que el sistema de señalización vertical de tránsito y de elementos de seguridad vial, se encuentre en óptimas condiciones de operatividad.;CLP;12716361;NO;Presupuesto disponible;;;22-06-2021 13:10:04;22-06-2021 20:01:00;06-07-2021 10:00:00;14-07-2021 20:00:00;23-07-2021 15:31:00;30-07-2021 15:00:00;23-07-2021 15:30:00;27-08-2021 15:00:33;;;Horas;Adjudicada;NO;NO;;Multiple con Orden de Compra;Decreto;984;27-08-2021 0:00:00;Abierta;Dos etapas;No;;No;Si;;No;36;Meses;;0;;;Contrato de Ejecucion en el Tiempo;A 30 dias;Cheque;;NO;Municipalidad de lo Barnechea - Adquisiciones - Consistorial;69.255.200-8;100155;I MUNICIPALIDAD LO BARNECHEA;MUNICIPALIDADES;Equipos y suministros de defensa, orden público, protección y seguridad;Seguridad y control público;Control de tráfico;46161504;Señales de tránsito;Señales de tránsito;Servicio de mantención, provisión e instalación de señales verticales de tránsito;Unidad;1;GESTION Y SOLUCIONES VIALES SPA;76.727.849-7;OBRAS MENORES COMERCIALIZACION DE INSUMOS DE FERRERTERIA Y CONSTRUCCION;Micro;SERVICIO DE MANTENCION PROVISION E INSTALACION DE SENALES VERTICALES DE TRANSITO;SERVICIO DE MANTENCION PROVISION E INSTALACION DE SENALES VERTICALES DE TRANSITO;Aceptada;1;CLP;12716361;12716361;Ganadora
2735-33-LR21;Señales Verticales de Tránsito;Licitación Pública Mayor a 5000 (LR);Contratación del servicio de mantención y provisión e instalación de señalización vertical y de elementos de seguridad vial para la comuna de Lo Barnechea, con la finalidad de que el sistema de señalización vertical de tránsito y de elementos de seguridad vial, se encuentre en óptimas condiciones de operatividad.;CLP;12716361;NO;Presupuesto disponible;;;22-06-2021 13:10:04;22-06-2021 20:01:00;06-07-2021 10:00:00;14-07-2021 20:00:00;23-07-2021 15:31:00;30-07-2021 15:00:00;23-07-2021 15:30:00;27-08-2021 15:00:33;;;Horas;Adjudicada;NO;NO;;Multiple con Orden de Compra;Decreto;984;27-08-2021 0:00:00;Abierta;Dos etapas;No;;No;Si;;No;36;Meses;;0;;;Contrato de Ejecucion en el Tiempo;A 30 dias;Cheque;;NO;Municipalidad de lo Barnechea - Adquisiciones - Consistorial;69.255.200-8;100155;I MUNICIPALIDAD LO BARNECHEA;MUNICIPALIDADES;Equipos y suministros de defensa, orden público, protección y seguridad;Seguridad y control público;Control de tráfico;46161504;Señales de tránsito;Señales de tránsito;Servicio de mantención, provisión e instalación de señales verticales de tránsito;Unidad;1;APIA SPA;99.537.890-6;FABRICACION DE PRODUCTOS METALICOS DE USO ESTRUCTURAL| VENTA AL POR MENOR DE ARTICULOS DE FERRETERIA Y MATERIALES DE CONSTRUC| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.;Grande;Senales de Tránsito;Servicio de mantención, provisión e instalación de señales verticales de tránsito de acuerdo a Bases Técnicas y Administrativas: El precio Unitario corresponde a la suma de los Anexos 5 y Anexo 6;Aceptada;1;CLP;27199300;27199300;Perdedora
2735-47-LP21;SUMINISTRO DE SUPLEMENTOS NUTRITIVOS;Licitación Pública Mayor 1000 UTM (LP);La Municipalidad de Lo Barnechea requiere un contrato de suministro de suplementos nutricionales objeto de mantener un abastecimiento constante para beneficiarios de la comuna.  La contratación será a precios unitarios por cada producto solicitado, por lo que la municipalidad podrá solicitar la cantidad necesaria para cubrir la demanda mensual que presenten los beneficiarios.  ;CLP;60000000;Si;Presupuesto disponible;Municipal;;02-06-2021 13:38:37;02-06-2021 23:31:00;08-06-2021 12:00:00;15-06-2021 23:59:00;23-06-2021 15:30:00;23-06-2021 15:30:00;23-06-2021 15:01:00;27-07-2021 12:45:08;;;Horas;Adjudicada;NO;NO;;Multiple con Orden de Compra;Decreto;DAL N° 842;27-07-2021 0:00:00;Abierta;Una etapa;Si;No se permite;No;Si;;No;12;Meses;;0;;;Contrato de Ejecucion en el Tiempo;A 30 dias;Transferencia Electronica, Cheque;PRESUPUESTO MÁXIMO DISPONIBLE LINEA 1 50.000.000, impuestos incluidos. PRESUPUESTO MÁXIMO DISPONIBLE LINEA 2 10.000.000, impuestos incluidos.;NO;Municipalidad de lo Barnechea - Adquisiciones - Consistorial;69.255.200-8;100155;I MUNICIPALIDAD LO BARNECHEA;MUNICIPALIDADES;Equipamiento y suministros médicos;Nutrición clínica;Fórmulas y productos para apoyo nutritivo;42231804;Fórmulas suplementarias para enfermedades pediátricas específicas;Fórmulas suplementarias para enfermedades pediátricas específicas;OFERTAR $1 PESO EN ESTA LÍNEA.;Unidad;1;Renova Functionals S.A.;76.252.084-2;Comercio al por Mayor;Pequeña;Modulos Nutricionales Vivalite ;Se oferta Linea 2 por Modulos Nutricionales Vivalite Protein, Vivalite Energy y Vivalite Thickener Plus. Sabores Neutros, Libres de lactosa, Sacarosa, Gluten y bajos en Sodio ;Aceptada;1;CLP;1;1;Ganadora
2735-47-LP21;SUMINISTRO DE SUPLEMENTOS NUTRITIVOS;Licitación Pública Mayor 1000 UTM (LP);La Municipalidad de Lo Barnechea requiere un contrato de suministro de suplementos nutricionales objeto de mantener un abastecimiento constante para beneficiarios de la comuna.  La contratación será a precios unitarios por cada producto solicitado, por lo que la municipalidad podrá solicitar la cantidad necesaria para cubrir la demanda mensual que presenten los beneficiarios.  ;CLP;60000000;Si;Presupuesto disponible;Municipal;;02-06-2021 13:38:37;02-06-2021 23:31:00;08-06-2021 12:00:00;15-06-2021 23:59:00;23-06-2021 15:30:00;23-06-2021 15:30:00;23-06-2021 15:01:00;27-07-2021 12:45:08;;;Horas;Adjudicada;NO;NO;;Multiple con Orden de Compra;Decreto;DAL N° 842;27-07-2021 0:00:00;Abierta;Una etapa;Si;No se permite;No;Si;;No;12;Meses;;0;;;Contrato de Ejecucion en el Tiempo;A 30 dias;Transferencia Electronica, Cheque;PRESUPUESTO MÁXIMO DISPONIBLE LINEA 1 50.000.000, impuestos incluidos. PRESUPUESTO MÁXIMO DISPONIBLE LINEA 2 10.000.000, impuestos incluidos.;NO;Municipalidad de lo Barnechea - Adquisiciones - Consistorial;69.255.200-8;100155;I MUNICIPALIDAD LO BARNECHEA;MUNICIPALIDADES;Equipamiento y suministros médicos;Nutrición clínica;Fórmulas y productos para apoyo nutritivo;42231804;Fórmulas suplementarias para enfermedades pediátricas específicas;Fórmulas suplementarias para enfermedades pediátricas específicas;OFERTAR $1 PESO EN ESTA LÍNEA.;Unidad;1;ASESORIAS Y GESTION EASYLIT LIMITADA;77.020.963-3;EMPRESAS DE ASESORIA Y CONSULTORIA EN INVERSION FINANCIERA  SOCIEDADES;Micro;SUMINISTRO DE SUPLEMENTOS NUTRITIVOS	;OFERTAR 1 PESO EN ESTA LÍNEA.;Rechazada;1;CLP;50400000;50400000;Perdedora
2735-47-LP21;SUMINISTRO DE SUPLEMENTOS NUTRITIVOS;Licitación Pública Mayor 1000 UTM (LP);La Municipalidad de Lo Barnechea requiere un contrato de suministro de suplementos nutricionales objeto de mantener un abastecimiento constante para beneficiarios de la comuna.  La contratación será a precios unitarios por cada producto solicitado, por lo que la municipalidad podrá solicitar la cantidad necesaria para cubrir la demanda mensual que presenten los beneficiarios.  ;CLP;60000000;Si;Presupuesto disponible;Municipal;;02-06-2021 13:38:37;02-06-2021 23:31:00;08-06-2021 12:00:00;15-06-2021 23:59:00;23-06-2021 15:30:00;23-06-2021 15:30:00;23-06-2021 15:01:00;27-07-2021 12:45:08;;;Horas;Adjudicada;NO;NO;;Multiple con Orden de Compra;Decreto;DAL N° 842;27-07-2021 0:00:00;Abierta;Una etapa;Si;No se permite;No;Si;;No;12;Meses;;0;;;Contrato de Ejecucion en el Tiempo;A 30 dias;Transferencia Electronica, Cheque;PRESUPUESTO MÁXIMO DISPONIBLE LINEA 1 50.000.000, impuestos incluidos. PRESUPUESTO MÁXIMO DISPONIBLE LINEA 2 10.000.000, impuestos incluidos.;NO;Municipalidad de lo Barnechea - Adquisiciones - Consistorial;69.255.200-8;100155;I MUNICIPALIDAD LO BARNECHEA;MUNICIPALIDADES;Equipamiento y suministros médicos;Nutrición clínica;Fórmulas y productos para apoyo nutritivo;42231804;Fórmulas suplementarias para enfermedades pediátricas específicas;Fórmulas suplementarias para enfermedades pediátricas específicas;OFERTAR $1 PESO EN ESTA LÍNEA.;Unidad;1;ABBOTT LABORATORIES DE CHILE LTDA;81.378.300-2;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.;Grande;Abbott;Ver archivo adjunto-24 horas habiles una vez emitida oc;Aceptada;1;CLP;1;1;Ganadora
2735-52-LP21;SEGURO DENTAL FUNCIONARIOS BIENESTAR MUNICIPAL;Licitación Pública Mayor 1000 UTM (LP);SEGURO DENTAL PARA FUNCIONARIOS DEL SERVICIO DE BIENESTAR MUNICIPAL;CLF;2333;Si;Presupuesto disponible;;;16-06-2021 13:07:00;16-06-2021 15:01:00;21-06-2021 10:00:00;30-06-2021 20:30:00;08-07-2021 15:30:00;08-07-2021 15:30:00;08-07-2021 15:00:00;20-08-2021 12:56:17;;;Horas;Adjudicada;NO;NO;;Multiple con Orden de Compra;Decreto;952;19-08-2021 0:00:00;Abierta;Una etapa;Si;SE PROHIBE LA SUBCONTRATACIÓN;No;Si;;No;12;Meses;;0;;;Contrato de Ejecucion en el Tiempo;A 30 dias;Cheque;;NO;Municipalidad de lo Barnechea - Adquisiciones - Consistorial;69.255.200-8;100155;I MUNICIPALIDAD LO BARNECHEA;MUNICIPALIDADES;Servicios financieros, pensiones y seguros;Seguros y jubilación;Seguros de vida, salud y accidentes;84131602;Seguros de enfermedades y hospitalización;Seguros de enfermedades y hospitalización;SEGURO DENTAL PARA FUNCIONARIOS DEL SERVICIO DE BIENESTAR MUNICIPAL;Unidad;1;BCI SEGUROS VIDA S A;96.573.600-K;PLANES DE SEGURO DE VIDA| PLANES DE SEGUROS GENERALES;Grande;Seguro dental funcionarios del Servicio de Bienestar Municipal;Seguro dental funcionarios del Servicio de Bienestar Municipal;Aceptada;1;CLF;1;1;Ganadora
